﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,八里庄街道_110105015000,116.471924,39.910641,12967147.328574618,4826319.735139154
1,八里庄街道_110105015000,116.472078,39.909755,12967164.41376016,4826191.944996541
2,八里庄街道_110105015000,116.47192,39.910185,12967146.91893172,4826253.823411903
3,八里庄街道_110105015000,116.471925,39.910731,12967147.44073233,4826332.753495489
4,八里庄街道_110105015000,116.472407,39.912287,12967200.542797117,4826558.480944083
5,八里庄街道_110105015000,116.472075,39.911918,12967163.921897426,4826504.59957187
6,八里庄街道_110105015000,116.471934,39.911485,12967148.39618677,4826441.764088142
7,八里庄街道_110105015000,116.471925,39.911035,12967147.4439041,4826376.703002984
8,八里庄街道_110105015000,116.472078,39.909755,12967164.41376016,4826191.944996541
9,八里庄街道_110105015000,116.472663,39.909745,12967228.974519378,4826191.568263868
10,八里庄街道_110105015000,116.472078,39.909755,12967164.41376016,4826191.944996541
11,八里庄街道_110105015000,116.471911,39.909326,12967146.006555226,4826129.684341593
12,八里庄街道_110105015000,116.4719,39.908876,12967144.84713015,4826064.622685404
13,八里庄街道_110105015000,116.471894,39.908426,12967144.22909744,4825999.572183767
14,八里庄街道_110105015000,116.471913,39.907977,12967146.345571611,4825934.732026222
15,八里庄街道_110105015000,116.472138,39.907564,12967171.20218299,4825875.391460518
16,八里庄街道_110105015000,116.472226,39.907468,12967180.915473351,4825861.703527543
17,八里庄街道_110105015000,116.472237,39.919263,12967181.379041197,4827566.603832934
18,八里庄街道_110105015000,116.472084,39.918832,12967164.517826812,4827504.041477323
19,八里庄街道_110105015000,116.472072,39.918382,12967163.22083729,4827438.960473097
20,八里庄街道_110105015000,116.47206,39.917932,12967161.894804249,4827373.879773532
21,八里庄街道_110105015000,116.472048,39.917482,12967160.599800097,4827308.800541123
22,八里庄街道_110105015000,116.472036,39.917032,12967159.305766454,4827243.722184574
23,八里庄街道_110105015000,116.472024,39.916582,12967158.012687791,4827178.644696948
24,八里庄街道_110105015000,116.472012,39.916132,12967156.720529815,4827113.607281762
25,八里庄街道_110105015000,116.472,39.915682,12967155.39926804,4827048.530926725
26,八里庄街道_110105015000,116.471988,39.915232,12967154.108955253,4826983.456001688
27,八里庄街道_110105015000,116.47199,39.914782,12967154.321726026,4826918.411046718
28,八里庄街道_110105015000,116.472178,39.914358,12967175.113140788,4826857.453139613
29,八里庄街道_110105015000,116.472407,39.912287,12967200.542797117,4826558.480944083
30,八里庄街道_110105015000,116.472075,39.912656,12967163.860409971,4826611.280541334
31,八里庄街道_110105015000,116.471936,39.91309,12967148.472848533,4826673.714004207
32,八里庄街道_110105015000,116.471925,39.91354,12967147.265432805,4826738.736742483
33,八里庄街道_110105015000,116.471975,39.913987,12967152.72886337,4826803.458147935
34,八里庄街道_110105015000,116.472197,39.91433,12967177.248273864,4826853.456323666
